seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
0,None,11,71,32,0.0017425420228391886,38,15448,da2,
0,None,12,65,27,0.0004427499952726066,38,6384,a2,
0,None,12,121,83,0.0014636249979957938,38,14352,lee,
0,None,12,117,78,0.0015876249526627362,39,7304,larbsa,MERGEINTRAIL R:104
0,None,12,67,29,0.0007324159960262477,38,4200,larbsa-pythag,MERGEPOINT R:54
0,None,12,117,79,0.0021033749799244106,38,16432,larbsa-pruned,MERGEINTRAIL R:104
0,None,12,117,79,0.0024798749946057796,38,9088,larbsa-pruned-spacing,MERGEINTRAIL R:104
0,None,15,117,87,0.0018118750303983688,30,10776,larbsa-8-pruned-spacing,MERGEINTRAIL R:104
0,None,2,21,16,0.0003244580002501607,5,920,rrt,
0,None,15,71,41,0.0011210409575141966,30,7336,jps,
0,None,12,169,131,0.012926875031553209,38,12904,bf,
0,None,12,169,131,0.0008784999954514205,38,15560,spfa,
10,None,19,54,14,0.000941417005378753,39,9824,da2,
10,None,20,90,51,0.0005735000013373792,39,13672,a2,
10,None,20,166,127,0.0018123339978046715,39,15944,lee,
10,None,19,82,42,0.0008619580185040832,40,4424,larbsa,MERGEINTRAIL R:75
10,None,20,61,22,0.0005827909917570651,39,4088,larbsa-pythag,MERGEPOINT R:48
10,None,20,82,43,0.0012502909521572292,39,7776,larbsa-pruned,MERGEINTRAIL R:75
10,None,20,82,43,0.0013589999871328473,39,6376,larbsa-pruned-spacing,MERGEINTRAIL R:75
10,None,18,82,58,0.0012225829996168613,24,4184,larbsa-8-pruned-spacing,MERGEINTRAIL R:75
10,None,4,70,64,0.0036984169855713844,6,3368,rrt,
10,None,18,59,35,0.0008062499691732228,24,5744,jps,
10,None,20,166,127,0.006402499973773956,39,6904,bf,
10,None,20,166,127,0.0009336660150438547,39,12032,spfa,
20,None,14,56,19,0.0009444580064155161,36,9672,da2,
20,None,14,49,13,0.00025062495842576027,36,5744,a2,
20,None,14,143,107,0.0011640419834293425,36,8968,lee,
20,None,13,60,23,0.000567917013540864,37,4072,larbsa,MERGEINTRAIL R:48
20,None,14,59,23,0.0005799579666927457,36,4032,larbsa-pythag,MERGEPOINT R:49
20,None,14,60,24,0.0006925000343471766,36,4064,larbsa-pruned,MERGEDIRECT R:48
20,None,14,60,24,0.000787624972872436,36,4064,larbsa-pruned-spacing,MERGEDIRECT R:48
20,None,17,60,35,0.0010117909987457097,25,3848,larbsa-8-pruned-spacing,MERGEDIRECT R:48
20,None,2,155,151,0.03151108301244676,4,6888,rrt,
20,None,17,50,25,0.0006890419754199684,25,5712,jps,
20,None,14,170,134,0.007194040983449668,36,6904,bf,
20,None,14,170,134,0.000734750006813556,36,6904,spfa,
30,None,17,50,12,0.0008847079589031637,37,9584,da2,
30,None,18,85,48,0.0004490000428631902,37,5744,a2,
30,None,18,165,128,0.001446374983061105,37,8968,lee,
30,None,18,49,11,0.000470208004117012,38,2848,larbsa,MERGEINTRAIL R:36
30,None,18,49,12,0.0004570410237647593,37,2840,larbsa-pythag,MERGEPOINT R:36
30,None,18,49,12,0.0005959999980404973,37,2840,larbsa-pruned,MERGEDIRECT R:36
