seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
0,None,10,76,41,0.001037666981574148,34,9896,da2,
0,None,10,239,205,0.0012598749599419534,34,23472,a2,
0,None,10,284,250,0.003082290990278125,34,16648,lee,
0,None,10,71,32,0.000498040986713022,39,3352,larbsa,MERGEINTRAIL R:38
0,None,10,67,31,0.0005224579945206642,36,3272,larbsa-pythag,MERGEPOINT R:36
0,None,10,71,33,0.0007150410092435777,38,3984,larbsa-pruned,MERGEDIRECT R:38
0,None,10,71,33,0.0007679169648326933,38,3344,larbsa-pruned-spacing,MERGEDIRECT R:38
0,None,10,71,40,0.0009022500016726553,31,3192,larbsa-8-pruned-spacing,MERGEDIRECT R:38
0,None,3,31,25,0.00034362502628937364,6,1736,rrt,
0,None,16,67,49,0.0010565000120550394,18,6224,jps,
0,None,10,293,259,0.0019178749644197524,34,13944,bf,
0,None,4,293,259,0.0010400000028312206,34,13944,spfa,
10,None,13,76,41,0.0009738329681567848,34,10856,da2,
10,None,14,210,176,0.001097041997127235,34,23472,a2,
10,None,14,287,253,0.003140209009870887,34,16648,lee,
10,None,13,85,48,0.0006047500064596534,37,4632,larbsa,MERGEINTRAIL R:49
10,None,14,68,34,0.00048287498066201806,34,3144,larbsa-pythag,MERGEPOINT R:35
10,None,14,85,49,0.0007387499790638685,36,4816,larbsa-pruned,MERGEINTRAIL R:49
10,None,14,85,49,0.0008959590340964496,36,4624,larbsa-pruned-spacing,MERGEINTRAIL R:49
10,None,15,85,57,0.00103329197736457,28,4488,larbsa-8-pruned-spacing,MERGEINTRAIL R:49
10,None,4,153,147,0.009030416025780141,6,6888,rrt,
10,None,18,90,70,0.0014547909959219396,20,14448,jps,
10,None,14,295,261,0.0027265409589745104,34,13944,bf,
10,None,14,295,261,0.0010432919953018427,34,13944,spfa,
20,None,11,76,42,0.0009521659812889993,33,10568,da2,
20,None,11,216,183,0.0011088330065831542,33,23472,a2,
20,None,11,281,248,0.003047958016395569,33,16648,lee,
20,None,11,65,29,0.0004426249652169645,36,3144,larbsa,MERGEINTRAIL R:33
20,None,15,66,29,0.00047558400547131896,37,3168,larbsa-pythag,MERGEPOINT R:35
20,None,11,65,30,0.0005521669518202543,35,3136,larbsa-pruned,MERGEDIRECT R:33
20,None,11,65,30,0.0006735000060871243,35,3136,larbsa-pruned-spacing,MERGEDIRECT R:33
20,None,11,65,38,0.000794124964158982,27,2984,larbsa-8-pruned-spacing,MERGEDIRECT R:33
20,None,2,149,145,0.008960999955888838,4,6888,rrt,
20,None,17,69,50,0.0009204999660141766,19,5872,jps,
20,None,11,293,260,0.0019177499925717711,33,13944,bf,
