seed,density,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
111,12,2,35,15,0.0004367079818621278,19,6168,da2,
111,12,1,91,72,0.0005097500397823751,19,11688,a2,
111,12,1,91,72,0.0007623329875059426,19,8968,lee,
111,12,0,36,16,0.00023779197363182902,20,1848,larbsa,MERGEINTRAIL R:17
111,12,11,42,23,0.00025620899396017194,19,1928,larbsa-pythag,MERGEPOINT R:17
111,12,1,36,17,0.0003048750222660601,19,1840,larbsa-pruned,MERGEDIRECT R:17
111,12,5,45,26,0.0005422079702839255,19,2032,larbsa-pruned-spacing,MERGEDIRECT R:17
111,12,5,60,45,0.0006998330354690552,15,2232,larbsa-8-pruned-spacing,MERGEINTRAIL R:13
111,12,2,86,80,0.0051735410233959556,6,6888,rrt,
111,12,9,46,35,0.0008274170104414225,11,5872,jps,
111,12,1,91,72,0.0003352089552208781,19,6904,bf,
111,12,5,91,72,0.00032645900500938296,19,6904,spfa,
112,12,5,45,25,0.0005641669849865139,19,9952,da2,
112,12,5,91,72,0.0005239999736659229,19,11688,a2,
112,12,5,91,72,0.0007649579783901572,19,8968,lee,
112,12,7,77,57,0.0004601660184562206,20,3616,larbsa,MERGEINTRAIL R:40
112,12,13,46,27,0.0002679169992916286,19,2320,larbsa-pythag,MERGEPOINT R:18
112,12,6,77,58,0.0005725410301238298,19,3608,larbsa-pruned,MERGEDIRECT R:40
112,12,11,49,30,0.0005862080142833292,19,2056,larbsa-pruned-spacing,MERGEDIRECT R:17
112,12,8,51,41,0.000629791000392288,10,1872,larbsa-8-pruned-spacing,MERGEINTRAIL R:8
112,12,3,58,52,0.0007911249995231628,6,3368,rrt,
112,12,8,34,24,0.0005663749761879444,10,3080,jps,
112,12,5,91,72,0.00032837502658367157,19,6904,bf,
112,12,3,91,72,0.0003279580269008875,19,6904,spfa,
113,12,3,34,14,0.0004343329928815365,19,6088,da2,
113,12,3,89,70,0.0004951250157319009,19,11688,a2,
113,12,3,89,70,0.0007334999972954392,19,8968,lee,
113,12,3,35,15,0.0002358750207349658,20,1768,larbsa,MERGEINTRAIL R:17
113,12,11,45,26,0.0002704579965211451,19,2312,larbsa-pythag,MERGEPOINT R:18
